Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Units Sold,Price Per Unit,Total Sales,Discount Percentage,Discount Value,Net Sales,Profit,Order ID,Year,Quarter,Month,Weekday,Profit Margin,Customer Name,City,State,Pincode,EmailID,Phone Number,Product Name,Product Line,Price (INR),Promotion Name,Ad Type,Coupon Code,Price Reduction Type
2021-12-21,1,0,P030,3,399,1197,0,0.0,1197.0,119.7,1653,2021,4,December,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Nivea Body Lotion,Personal Care,399,,,,
2022-01-25,1,0,P025,3,8999,26997,0,0.0,26997.0,2699.7,1916,2022,1,January,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,American Tourister Suitcase,Bags,8999,,,,
2022-08-11,1,0,P005,3,92499,277497,0,0.0,277497.0,27749.7,2250,2022,3,August,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2022-09-23,1,0,P013,3,15999,47997,0,0.0,47997.0,4799.7,2477,2022,3,September,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Raymond Suit,Clothing,15999,,,,
2022-10-02,1,0,P024,3,2799,8397,0,0.0,8397.0,839.7,2486,2022,4,October,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Backpack,Bags,2799,,,,
2022-10-27,1,0,P005,3,92499,277497,0,0.0,277497.0,27749.7,2521,2022,4,October,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2022-11-27,1,0,P016,3,24999,74997,0,0.0,74997.0,7499.7,2644,2022,4,November,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,LG Washing Machine,Home Appliances,24999,,,,
2020-06-15,1,0,P011,3,1499,4497,0,0.0,4497.0,449.7,506,2020,2,June,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,H&M T-Shirt,Clothing,1499,,,,
2022-12-18,1,0,P020,3,12999,38997,0,0.0,38997.0,3899.7,2833,2022,4,December,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,,,,
2023-01-08,1,0,P009,3,3499,10497,0,0.0,10497.0,1049.7,2851,2023,1,January,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Levi's Denim Jeans,Clothing,3499,,,,
2023-08-06,1,0,P016,3,24999,74997,0,0.0,74997.0,7499.7,3326,2023,3,August,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,LG Washing Machine,Home Appliances,24999,,,,
2023-11-20,1,0,P020,3,12999,38997,0,0.0,38997.0,3899.7,3496,2023,4,November,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,,,,
2020-02-28,1,0,P010,2,2199,4398,0,0.0,4398.0,439.8,87,2020,1,February,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Zara Casual Shirt,Clothing,2199,,,,
2020-03-07,1,0,P017,2,10499,20998,0,0.0,20998.0,2099.8,160,2020,1,March,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,IFB Microwave Oven,Home Appliances,10499,,,,
2020-03-17,1,0,P012,2,2999,5998,0,0.0,5998.0,599.8,207,2020,1,March,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,FabIndia Kurta,Clothing,2999,,,,
2021-01-02,1,0,P011,2,1499,2998,0,0.0,2998.0,299.8,996,2021,1,January,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,H&M T-Shirt,Clothing,1499,,,,
2021-01-11,1,0,P029,2,99,198,0,0.0,198.0,19.8,1000,2021,1,January,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Colgate Toothpaste,Personal Care,99,,,,
2020-06-24,1,0,P011,3,1499,4497,0,0.0,4497.0,449.7,553,2020,2,June,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,H&M T-Shirt,Clothing,1499,,,,
2021-01-16,1,0,P014,2,4999,9998,0,0.0,9998.0,999.8,1084,2021,1,January,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Bajaj Mixer Grinder,Home Appliances,4999,,,,
2021-02-03,1,0,P015,2,8499,16998,0,0.0,16998.0,1699.8,1103,2021,1,February,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Philips Air Fryer,Home Appliances,8499,,,,
2021-06-12,1,0,P002,2,69999,139998,0,0.0,139998.0,13999.8,1431,2021,2,June,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Samsung Galaxy S21,Electronics,69999,,,,
2021-12-30,1,0,P029,2,99,198,0,0.0,198.0,19.8,1732,2021,4,December,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Colgate Toothpaste,Personal Care,99,,,,
2022-07-18,1,0,P009,2,3499,6998,0,0.0,6998.0,699.8,2247,2022,3,July,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Levi's Denim Jeans,Clothing,3499,,,,
2022-08-25,1,0,P014,2,4999,9998,0,0.0,9998.0,999.8,2457,2022,3,August,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Bajaj Mixer Grinder,Home Appliances,4999,,,,
2022-10-23,1,0,P005,2,92499,184998,0,0.0,184998.0,18499.8,2500,2022,4,October,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2023-06-02,1,0,P003,2,89999,179998,0,0.0,179998.0,17999.8,3059,2023,2,June,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,"Sony Bravia 55"" TV",Electronics,89999,,,,
2023-07-26,1,0,P004,2,64999,129998,0,0.0,129998.0,12999.8,3218,2023,3,July,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,HP Pavilion Laptop,Electronics,64999,,,,
2020-07-30,1,0,P008,2,5499,10998,0,0.0,10998.0,1099.8,788,2020,3,July,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Sports Shoes,Footwear,5499,,,,
2022-07-13,1,0,P008,2,5499,10998,0,0.0,10998.0,1099.8,2188,2022,3,July,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Sports Shoes,Footwear,5499,,,,
2021-12-13,1,0,P008,3,5499,16497,0,0.0,16497.0,1649.7,1625,2021,4,December,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Sports Shoes,Footwear,5499,,,,
2020-06-01,1,0,P003,1,89999,89999,0,0.0,89999.0,8999.9,435,2020,2,June,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,"Sony Bravia 55"" TV",Electronics,89999,,,,
2020-09-01,1,0,P020,1,12999,12999,0,0.0,12999.0,1299.9,811,2020,3,September,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,,,,
2020-10-22,1,0,P001,1,79999,79999,0,0.0,79999.0,7999.9,820,2020,4,October,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple iPhone 14,Electronics,79999,,,,
2020-11-07,1,0,P016,1,24999,24999,0,0.0,24999.0,2499.9,882,2020,4,November,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,LG Washing Machine,Home Appliances,24999,,,,
2020-02-11,1,0,P011,3,1499,4497,0,0.0,4497.0,449.7,59,2020,1,February,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,H&M T-Shirt,Clothing,1499,,,,
2020-12-08,1,0,P003,1,89999,89999,0,0.0,89999.0,8999.9,894,2020,4,December,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,"Sony Bravia 55"" TV",Electronics,89999,,,,
2020-12-19,1,0,P001,1,79999,79999,0,0.0,79999.0,7999.9,956,2020,4,December,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple iPhone 14,Electronics,79999,,,,
2021-01-20,1,0,P028,1,349,349,0,0.0,349.0,34.9,1085,2021,1,January,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Dove Soap Pack,Personal Care,349,,,,
2021-03-20,1,0,P007,1,6999,6999,0,0.0,6999.0,699.9,1238,2021,1,March,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Adidas Sneakers,Footwear,6999,,,,
2021-07-15,1,0,P025,1,8999,8999,0,0.0,8999.0,899.9,1444,2021,3,July,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,American Tourister Suitcase,Bags,8999,,,,
2021-09-07,1,0,P005,1,92499,92499,0,0.0,92499.0,9249.9,1564,2021,3,September,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2021-11-22,1,0,P015,1,8499,8499,0,0.0,8499.0,849.9,1600,2021,4,November,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Philips Air Fryer,Home Appliances,8499,,,,
2021-12-30,1,0,P020,1,12999,12999,0,0.0,12999.0,1299.9,1711,2021,4,December,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,,,,
2022-01-05,1,0,P016,1,24999,24999,0,0.0,24999.0,2499.9,1849,2022,1,January,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,LG Washing Machine,Home Appliances,24999,,,,
2022-01-12,1,0,P010,1,2199,2199,0,0.0,2199.0,219.9,1894,2022,1,January,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Zara Casual Shirt,Clothing,2199,,,,
2022-02-04,1,0,P020,1,12999,12999,0,0.0,12999.0,1299.9,2036,2022,1,February,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,,,,
2022-06-09,1,0,P029,1,99,99,0,0.0,99.0,9.9,2112,2022,2,June,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Colgate Toothpaste,Personal Care,99,,,,
2022-08-24,1,0,P005,1,92499,92499,0,0.0,92499.0,9249.9,2316,2022,3,August,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2023-01-09,1,0,P015,1,8499,8499,0,0.0,8499.0,849.9,2898,2023,1,January,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Philips Air Fryer,Home Appliances,8499,,,,
2023-01-09,1,0,P017,1,10499,10499,0,0.0,10499.0,1049.9,2964,2023,1,January,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,IFB Microwave Oven,Home Appliances,10499,,,,
2023-03-19,1,0,P002,1,69999,69999,0,0.0,69999.0,6999.9,3012,2023,1,March,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Samsung Galaxy S21,Electronics,69999,,,,
2023-06-06,1,0,P030,1,399,399,0,0.0,399.0,39.9,3129,2023,2,June,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Nivea Body Lotion,Personal Care,399,,,,
2023-06-19,1,0,P001,1,79999,79999,0,0.0,79999.0,7999.9,3217,2023,2,June,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple iPhone 14,Electronics,79999,,,,
2023-09-17,1,0,P005,1,92499,92499,0,0.0,92499.0,9249.9,3404,2023,3,September,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Apple MacBook Air,Electronics,92499,,,,
2023-10-25,1,0,P024,1,2799,2799,0,0.0,2799.0,279.9,3489,2023,4,October,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Backpack,Bags,2799,,,,
2020-04-30,1,PR001,P010,2,2199,4398,20,879.6,3518.4,351.84,268,2020,2,April,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Zara Casual Shirt,Clothing,2199,Summer Sale,Email,SUMMER21,20% off
2020-05-02,1,PR001,P020,2,12999,25998,20,5199.6,20798.4,2079.84,310,2020,2,May,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,Summer Sale,Email,SUMMER21,20% off
2021-04-01,1,PR001,P014,2,4999,9998,20,1999.6,7998.4,799.84,1256,2021,2,April,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Bajaj Mixer Grinder,Home Appliances,4999,Summer Sale,Email,SUMMER21,20% off
2023-04-04,1,PR001,P019,2,5999,11998,20,2399.6,9598.4,959.84,3017,2023,2,April,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Titan Wrist Watch,Accessories,5999,Summer Sale,Email,SUMMER21,20% off
2023-05-14,1,PR001,P027,2,699,1398,20,279.6,1118.4,111.84,3038,2023,2,May,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,L'Oreal Shampoo,Personal Care,699,Summer Sale,Email,SUMMER21,20% off
2022-05-05,1,PR001,P009,3,3499,10497,20,2099.4,8397.6,839.76,2045,2022,2,May,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Levi's Denim Jeans,Clothing,3499,Summer Sale,Email,SUMMER21,20% off
2020-04-20,1,PR001,P002,1,69999,69999,20,13999.8,55999.2,5599.92,222,2020,2,April,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Samsung Galaxy S21,Electronics,69999,Summer Sale,Email,SUMMER21,20% off
2020-05-22,1,PR001,P020,1,12999,12999,20,2599.8,10399.2,1039.92,424,2020,2,May,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Fossil Smartwatch,Accessories,12999,Summer Sale,Email,SUMMER21,20% off
2021-04-23,1,PR001,P011,1,1499,1499,20,299.8,1199.2,119.92,1290,2021,2,April,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,H&M T-Shirt,Clothing,1499,Summer Sale,Email,SUMMER21,20% off
2021-05-11,1,PR001,P015,1,8499,8499,20,1699.8,6799.2,679.92,1352,2021,2,May,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Philips Air Fryer,Home Appliances,8499,Summer Sale,Email,SUMMER21,20% off
2023-05-25,1,PR001,P026,1,5499,5499,20,1099.8,4399.2,439.92,3051,2023,2,May,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Wildcraft Hiking Bag,Bags,5499,Summer Sale,Email,SUMMER21,20% off
2020-07-18,1,PR004,P030,1,399,399,50,199.5,199.5,19.95,752,2020,3,July,Saturday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Nivea Body Lotion,Personal Care,399,Weekend Flash Sale,Mobile Push,FLASH50,50% off
2022-07-03,1,PR004,P013,3,15999,47997,50,23998.5,23998.5,2399.85,2156,2022,3,July,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Raymond Suit,Clothing,15999,Weekend Flash Sale,Mobile Push,FLASH50,50% off
2022-11-08,10,0,P002,2,69999,139998,0,0.0,139998.0,13999.8,1592,2022,4,November,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Samsung Galaxy S21,Electronics,69999,,,,
2022-03-22,10,0,P011,3,1499,4497,0,0.0,4497.0,449.7,2652,2022,1,March,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,H&M T-Shirt,Clothing,1499,,,,
2023-03-30,10,0,P011,3,1499,4497,0,0.0,4497.0,449.7,2722,2023,1,March,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,H&M T-Shirt,Clothing,1499,,,,
2023-06-05,10,0,P008,3,5499,16497,0,0.0,16497.0,1649.7,1922,2023,2,June,Monday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Puma Sports Shoes,Footwear,5499,,,,
2021-11-13,10,0,P018,3,2299,6897,0,0.0,6897.0,689.7,76,2021,4,November,Saturday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Prestige Pressure Cooker,Home Appliances,2299,,,,
2022-06-04,10,0,P030,3,399,1197,0,0.0,1197.0,119.7,477,2022,2,June,Saturday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Nivea Body Lotion,Personal Care,399,,,,
2022-02-18,10,0,P017,3,10499,31497,0,0.0,31497.0,3149.7,779,2022,1,February,Friday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,IFB Microwave Oven,Home Appliances,10499,,,,
2021-12-17,10,0,P013,3,15999,47997,0,0.0,47997.0,4799.7,872,2021,4,December,Friday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Raymond Suit,Clothing,15999,,,,
2020-11-21,10,0,P022,3,1999,5997,0,0.0,5997.0,599.7,926,2020,4,November,Saturday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Borosil Glass Set,Kitchenware,1999,,,,
2023-03-06,10,0,P005,3,92499,277497,0,0.0,277497.0,27749.7,1244,2023,1,March,Monday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Apple MacBook Air,Electronics,92499,,,,
2023-09-03,10,0,P003,3,89999,269997,0,0.0,269997.0,26999.7,1390,2023,3,September,Sunday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,"Sony Bravia 55"" TV",Electronics,89999,,,,
2023-02-19,10,0,P004,3,64999,194997,0,0.0,194997.0,19499.7,1882,2023,1,February,Sunday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,HP Pavilion Laptop,Electronics,64999,,,,
2020-08-28,10,0,P016,3,24999,74997,0,0.0,74997.0,7499.7,2280,2020,3,August,Friday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,LG Washing Machine,Home Appliances,24999,,,,
2020-06-18,10,0,P010,3,2199,6597,0,0.0,6597.0,659.7,2368,2020,2,June,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Zara Casual Shirt,Clothing,2199,,,,
2023-11-02,10,0,P027,3,699,2097,0,0.0,2097.0,209.7,2634,2023,4,November,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,L'Oreal Shampoo,Personal Care,699,,,,
2020-10-22,10,0,P030,3,399,1197,0,0.0,1197.0,119.7,2714,2020,4,October,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Nivea Body Lotion,Personal Care,399,,,,
2021-03-16,10,0,P006,3,7499,22497,0,0.0,22497.0,2249.7,3021,2021,1,March,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Nike Running Shoes,Footwear,7499,,,,
2023-06-15,10,0,P004,3,64999,194997,0,0.0,194997.0,19499.7,3044,2023,2,June,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,HP Pavilion Laptop,Electronics,64999,,,,
2020-01-09,10,0,P006,3,7499,22497,0,0.0,22497.0,2249.7,3068,2020,1,January,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Nike Running Shoes,Footwear,7499,,,,
2023-08-12,10,0,P015,3,8499,25497,0,0.0,25497.0,2549.7,3344,2023,3,August,Saturday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Philips Air Fryer,Home Appliances,8499,,,,
2020-01-19,10,0,P003,3,89999,269997,0,0.0,269997.0,26999.7,3454,2020,1,January,Sunday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,"Sony Bravia 55"" TV",Electronics,89999,,,,
2020-02-04,10,0,P004,2,64999,129998,0,0.0,129998.0,12999.8,1,2020,1,February,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,HP Pavilion Laptop,Electronics,64999,,,,
2023-07-18,10,0,P030,2,399,798,0,0.0,798.0,79.8,183,2023,3,July,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Nivea Body Lotion,Personal Care,399,,,,
2020-02-11,10,0,P014,2,4999,9998,0,0.0,9998.0,999.8,200,2020,1,February,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Bajaj Mixer Grinder,Home Appliances,4999,,,,
2023-09-12,10,0,P025,2,8999,17998,0,0.0,17998.0,1799.8,304,2023,3,September,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,American Tourister Suitcase,Bags,8999,,,,
2021-03-01,10,0,P018,2,2299,4598,0,0.0,4598.0,459.8,428,2021,1,March,Monday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Prestige Pressure Cooker,Home Appliances,2299,,,,
2020-11-05,10,0,P024,2,2799,5598,0,0.0,5598.0,559.8,1120,2020,4,November,Thursday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Puma Backpack,Bags,2799,,,,
2020-01-21,10,0,P014,2,4999,9998,0,0.0,9998.0,999.8,1452,2020,1,January,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Bajaj Mixer Grinder,Home Appliances,4999,,,,
2022-02-15,10,0,P022,2,1999,3998,0,0.0,3998.0,399.8,1659,2022,1,February,Tuesday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Borosil Glass Set,Kitchenware,1999,,,,
2020-09-11,10,0,P011,2,1499,2998,0,0.0,2998.0,299.8,2041,2020,3,September,Friday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,H&M T-Shirt,Clothing,1499,,,,
2022-07-11,10,0,P021,2,1299,2598,0,0.0,2598.0,259.8,2389,2022,3,July,Monday,10.0,Dhruv Desai,Pune         , Maharashtra   ,411001,10Dhruv@gmail.com,900051106,Tupperware Lunch Box,Kitchenware,1299,,,,
